n, m, k, step, success rate, time
100,400,1,0.01,0.012,2156.997667312622
100,400,1,0.003,0.012,2159.550243616104
100,400,1,0.001,0.012,2159.9658918380737
100,400,1,0.0003,0.012,2157.334306240082
100,400,1,0.0001,0.012,2157.4485454559326
100,400,2,0.01,0.038,2122.779395341873
100,400,2,0.003,0.028,2147.2105436325073
100,400,2,0.001,0.008,2179.8016378879547
100,400,2,0.0003,0.002,2182.9858841896057
100,400,2,0.0001,0.0,2185.2704181671143
100,400,4,0.01,0.148,1891.1806869506836
100,400,4,0.003,0.102,2003.243416070938
100,400,4,0.001,0.054,2121.328994989395
100,400,4,0.0003,0.014,2172.3443489074707
100,400,4,0.0001,0.006,2187.5029635429382
100,400,6,0.01,0.314,1536.214231967926
100,400,6,0.003,0.19,1836.2124350070953
100,400,6,0.001,0.086,2071.7101452350616
100,400,6,0.0003,0.026,2167.846591234207
100,400,6,0.0001,0.002,2189.026853084564
100,400,8,0.03,0.118,2112.501448392868
100,400,8,0.01,0.354,1441.3271479606628
100,400,8,0.003,0.238,1726.1990880966187
100,400,8,0.001,0.118,2020.6453156471252
100,400,10,0.03,0.048,2365.874897956848
100,400,10,0.01,0.382,1377.412805557251
100,400,10,0.003,0.332,1520.1628754138947
100,400,10,0.001,0.176,1898.7440130710602
100,400,15,0.03,0.002,2598.8641827106476
100,400,15,0.01,0.298,1588.8858294487
100,400,15,0.003,0.466,1237.9967293739319
100,400,15,0.001,0.206,1834.048434972763
100,400,20,0.03,0.0,2619.8357031345367
100,400,20,0.01,0.124,2065.583829641342
100,400,20,0.003,0.49,1169.9206941127777
100,400,20,0.001,0.264,1709.9215416908264
100,400,25,0.03,0.0,2618.101550579071
100,400,25,0.01,0.028,2391.692131996155
100,400,25,0.003,0.534,1071.5679743289948
100,400,25,0.001,0.316,1586.8707647323608
100,400,30,0.03,0.0,2620.720309972763
100,400,30,0.01,0.0,2562.3646121025085
100,400,30,0.003,0.5,1133.0173156261444
100,400,30,0.001,0.34,1554.4473130702972
100,400,40,0.03,0.0,2618.7883610725403
100,400,40,0.01,0.0,2621.074580192566
100,400,40,0.003,0.304,1550.6844084262848
100,400,40,0.001,0.358,1484.4512155056
100,400,50,0.03,0.0,2617.8355679512024
100,400,50,0.01,0.0,2617.7640590667725
100,400,50,0.003,0.076,2064.2280299663544
100,400,50,0.001,0.326,1535.2429296970367
100,400,60,0.03,0.0,2619.909035682678
100,400,60,0.01,0.0,2617.428329706192
100,400,60,0.003,0.02,2301.5031411647797
100,400,60,0.001,0.334,1522.203578710556
100,400,70,0.03,0.0,2623.5729048252106
100,400,70,0.01,0.0,2616.3513984680176
100,400,70,0.003,0.0,2434.5369696617126
100,400,70,0.001,0.336,1511.5235540866852
100,400,80,0.03,0.0,2623.690631389618
100,400,80,0.01,0.0,2617.5943534374237
100,400,80,0.003,0.0,2536.407972574234
100,400,80,0.001,0.322,1537.5635290145874
100,400,90,0.03,0.0,2619.667193889618
100,400,90,0.01,0.0,2621.274467945099
100,400,90,0.003,0.0,2599.4699368476868
100,400,90,0.001,0.284,1614.8683111667633
100,400,100,0.001,0.236,1587.0931310653687
100,400,70,0.0003,0.136,1731.5577957630157
100,400,80,0.0003,0.178,1708.3401510715485
100,400,90,0.0003,0.212,1730.3404369354248
100,400,100,0.0003,0.398,1434.0688428878784
100,400,6,0.02,0.26,1660.412936925888
100,400,6,0.015,0.3,1557.6902503967285
100,400,6,0.008,0.316,1541.2161257266998
100,400,6,0.005,0.276,1638.111981868744
100,400,8,0.02,0.244,1717.9126987457275
100,400,8,0.015,0.284,1602.2702357769012
100,400,8,0.008,0.376,1404.866989850998
100,400,8,0.005,0.33,1516.874099969864100,400,100,0.0004,0.398,1606.6281731128693
100,400,100,0.0002,0.392,1709.5478229522705
100,400,100,0.00035,0.398,1348.4512569904327
100,400,10,0.005,0.418,1363.7042398452759
100,400,15,0.005,0.502,1094.3570761680603
100,400,20,0.005,0.506,1137.8772649765015
